"VideoURL";"Speaker";"AvailableSubtitlesCount";"Duraton";"TimeFilmed";"TalkViewsCount";"TalkCommentsCount"
"https://www.ted.com/talks/achenyo_idachaba_how_i_turned_a_deadly_plant_into_a_thriving_business";"Achenyo Idachaba";"28";" 7:17";"May 2015";"1,692,533";"56"
"https://www.ted.com/talks/adam_foss_a_prosecutor_s_vision_for_a_better_justice_system";"Adam Foss";"20";"15:57";"Feb 2016";"1,610,105";"95"
"https://www.ted.com/talks/adam_galinsky_how_to_speak_up_for_yourself";"Adam Galinsky";"28";"15:08";"Sep 2016";"2,905,116";"66"
"https://www.ted.com/talks/al_gore_the_case_for_optimism_on_climate_change";"Al Gore";"26";"25:20";"Feb 2016";"1,563,687";"355"
"https://www.ted.com/talks/alexander_betts_our_refugee_system_is_failing_here_s_how_we_can_fix_it";"Alexander Betts";"24";"18:09";"Feb 2016";"794,689";"138"
"https://www.ted.com/talks/alexander_tsiaras_conception_to_birth_visualized";"Alexander Tsiaras";"36";" 9:37";"Dec 2010";"5,987,254";"495"
"https://www.ted.com/talks/alicia_garza_patrisse_cullors_and_opal_tometi_an_interview_with_the_founders_of_black_lives_matter";"Alicia Garza

Patrisse Cullors

Opal Tometi

Mia Birdsong";"12";"16:05";"Oct 2016";"740,512";"92"
"https://www.ted.com/talks/alison_killing_what_happens_when_a_city_runs_out_of_room_for_its_dead";"Alison Killing";"27";" 8:49";"Nov 2014";"1,421,010";"37"
"https://www.ted.com/talks/allan_adams_what_the_discovery_of_gravitational_waves_means";"Allan Adams";"32";"10:58";"Feb 2016";"2,103,561";"150"
"https://www.ted.com/talks/allan_jones_a_map_of_the_brain";"Allan Jones";"35";"15:21";"Jul 2011";"1,010,673";"104"
"https://www.ted.com/talks/amanda_palmer_jherek_bischoff_usman_riaz_space_oddity";"Amanda Palmer

Jherek Bischoff

Usman Riaz";"28";" 6:09";"Feb 2016";"729,533";"8"
"https://www.ted.com/talks/amy_green_a_video_game_to_cope_with_grief";"Amy Green";"10";"10:34";"Feb 2017";"743,174";"22"
"https://www.ted.com/talks/amy_purdy_living_beyond_limits";"Amy Purdy";"30";" 9:44";"May 2011";"1,563,819";"291"
"https://www.ted.com/talks/andres_ruzo_the_mythical_boiling_river_of_the_amazon";"Andrés Ruzo";"21";"15:49";"Oct 2014";"901,342";"38"
"https://www.ted.com/talks/antonio_guterres_refugees_have_the_right_to_be_protected";"António Guterres";"29";"19:54";"Dec 2015";"1,094,439";"86"
"https://www.ted.com/talks/aomawa_shields_how_we_ll_find_life_on_other_planets";"Aomawa Shields";"44";" 5:25";"Mar 2015";"1,497,028";"92"
"https://www.ted.com/talks/aparna_rao_high_tech_art_with_a_sense_of_humor";"Aparna Rao";"37";" 7:50";"Jul 2011";"762,666";"104"
"https://www.ted.com/talks/ari_wallach_3_ways_to_plan_for_the_very_long_term";"Ari Wallach";"3";"13:42";"Oct 2016";"1,024,008";"26"
"https://www.ted.com/talks/arthur_brooks_a_conservative_s_plea_let_s_work_together";"Arthur Brooks";"23";"14:14";"Feb 2016";"1,097,416";"166"
"https://www.ted.com/talks/ashraf_ghani_on_rebuilding_broken_states";"Ashraf Ghani";"24";"18:45";"Jul 2005";"786,918";"66"
"https://www.ted.com/talks/aubrey_de_grey_says_we_can_avoid_aging";"Aubrey de Grey";"29";"22:45";"Jul 2005";"3,191,391";"610"
